ID alpha delta x y v ev bv ebv ub eub vi evi d_arcsec _r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000
11 253.935527 -45.24349 100.889 1853.15 11.469 0.018 1.072 0.019 0.938 0.008 1.311 0.018 0.3498 0.118944 0.112073 -0.039842 109.6 "Gaia DR2 5964107413903706368" 253.93552363606 0.0419 -45.24360675788 0.0340 1635721458409799680 5964107413903706368 1393526562 2015.5 1.0167 0.0469 21.6940 -0.769 0.073 -4.552 0.059 0.0508 -0.3093 -0.4453 -0.1170 -0.1878 0.0023 -0.6938 -0.1479 0.2157 -0.1895 226 226 222 4 5.0943 340.47 0.000 0 31 0 368.6504 1.5108 0.0076 0.037 26 12 0.047966 0 29 0 224 7.23e+05 302 2394.093 11.0405 0.0005 25 2.991e+05 256.4 1166.600 11.6619 0.0009 27 6.000e+05 305.3 1965.531 10.3165 0.0006 1.244 1 1.3454 0.6213 0.7241 -32.29 0.16 7 5000.0 3.0 0.0 NOT_AVAILABLE 340.98559137304 -1.18760096049 257.82726221012 -22.48084171196 100002 4712.42 4618.49 4848.67 0.3373 0.1194 1.1823 0.1693 0.0560 0.5807 200111 8.60 8.13 8.96 32.884 30.765 35.003 253.93552833900 1.1264 -45.24358715850 0.9167
12 253.723371 -45.139347 1332.92 989.612 11.504 0.009 0.628 0.011 0.478 0.009 0.976 0.011 1.3803 0.074230 -0.037409 0.064115 329.7 "Gaia DR2 5964027768030105088" 253.72331734700 0.0437 -45.13974760128 0.0352 1635721458409799680 5964027768030105088 938006331 2015.5 0.8357 0.0460 18.1578 0.256 0.079 -4.451 0.059 0.0825 -0.2646 -0.4257 -0.1538 -0.1431 -0.0587 -0.7154 -0.1820 0.2668 -0.0692 213 213 199 14 9.4648 445.37 0.000 0 31 1 369.8001 1.5766 0.0089 0.061 24 12 0.050935 0 26 0 209 5.867e+05 376.1 1559.980 11.2674 0.0007 26 2.867e+05 283.1 1012.856 11.7077 0.0011 26 4.334e+05 375.2 1155.043 10.6697 0.0009 1.227 0 1.0380 0.4403 0.5977 "" "" 0 "" "" "" NOT_AVAILABLE 340.97252641288 -1.00599379195 257.65316180778 -22.39565535675 100001 5042.91 4603.00 5201.20 "" "" "" "" "" "" 200111 7.89 7.42 9.47 36.305 33.496 39.113 253.72331578400 1.2199 -45.13972843630 0.9102
13 253.761457 -45.240445 1111.75 1827.9 11.632 0.028 1.131 0.036 0.09 0.025 1.822 0.033 2.3872 0.038596 -0.010267 -0.037205 195.4 "Gaia DR2 5964026157435761920" 253.76176902147 0.0586 -45.24107877274 0.0486 1635721458409799680 5964026157435761920 645755183 2015.5 0.4274 0.0686 6.2303 -0.597 0.093 -2.099 0.079 -0.0214 -0.3930 -0.4222 -0.1232 -0.1809 0.0669 -0.7709 -0.2605 0.3935 -0.1974 199 199 190 9 13.3175 576.17 0.000 0.91 31 1 362.6502 1.4319 0.0125 0.038 23 11 0.058049 0 26 0 210 7.777e+05 860.1 904.134 10.9614 0.0012 24 2.563e+05 410 625.014 11.8296 0.0017 23 7.542e+05 722.2 1044.255 10.0682 0.0010 1.299 1 1.7614 0.8682 0.8932 "" "" 0 "" "" "" NOT_AVAILABLE 340.91075302564 -1.09077400385 257.69547767650 -22.49298329812 100002 4160.84 4072.76 4254.21 0.4220 0.2083 0.7401 0.1895 0.1037 0.4274 200111 30.69 29.36 32.03 254.366 202.151 306.581 253.76177267000 1.4371 -45.24106973640 1.2180
14 253.931107 -45.181779 126.554 1341.45 11.638 0.018 1.113 0.019 0.966 0.008 1.327 0.018 1.2810 0.110953 0.108733 0.022084 78.5 "Gaia DR2 5964108174130661632" 253.93061291477 0.0425 -45.18168715625 0.0330 1635721458409799680 5964108174130661632 551791035 2015.5 1.0448 0.0456 22.9032 -2.342 0.080 -4.369 0.060 0.0909 -0.3215 -0.3758 -0.1003 -0.1498 -0.0288 -0.6653 -0.1578 0.1240 -0.0335 204 204 197 7 5.9565 333.01 0.000 0 31 0 429.1630 1.5206 0.0080 0.065 24 12 0.051299 0 26 0 201 6.225e+05 356.3 1747.187 11.2029 0.0006 23 2.544e+05 268.6 947.136 11.8374 0.0011 23 5.222e+05 470.8 1109.314 10.4673 0.0010 1.248 0 1.3702 0.6345 0.7357 -24.14 0.22 5 5000.0 3.0 0.0 NOT_AVAILABLE 341.03167481130 -1.14608948460 257.81556520349 -22.41977504190 100001 4618.95 4473.96 4753.97 0.6280 0.4252 1.4988 0.3087 0.2200 1.0070 200111 8.21 7.75 8.75 27.654 25.954 29.354 253.93062721800 1.2444 -45.18166834330 0.9250
15 253.661326 -45.11381 1693.23 777.86 11.642 0.009 0.574 0.01 0.077 0.006 0.863 0.01 1.5588 0.120834 -0.081102 0.089573 317.8 "Gaia DR2 5964028077267750016" 253.66142641044 0.0377 -45.11424400823 0.0329 1635721458409799680 5964028077267750016 1073946856 2015.5 0.4670 0.0413 11.2938 -0.682 0.071 -1.706 0.056 -0.1113 -0.2031 -0.4441 0.0311 -0.1712 0.0969 -0.7410 -0.0825 0.2826 -0.1866 226 226 220 6 3.6676 299.54 0.000 0 31 1 396.9510 1.5843 0.0085 0.054 26 12 0.048872 0 29 0 221 4.94e+05 192.2 2570.669 11.4541 0.0004 26 2.54e+05 299.3 848.870 11.8392 0.0013 27 3.527e+05 321.7 1096.301 10.8935 0.0010 1.228 1 0.9456 0.3851 0.5605 "" "" 0 "" "" "" NOT_AVAILABLE 340.96487368121 -0.95600739688 257.60295058885 -22.37561326780 100002 5239.00 5138.88 5367.00 "" "" "" "" "" "" 200111 11.80 11.25 12.27 94.540 82.421 106.659 253.66143056900 1.1084 -45.11423666380 0.8647
16 253.937015 -45.1588 92.247 1150.91 11.832 0.017 0.472 0.018 0.13 0.006 0.753 0.017 1.8921 0.121492 0.112799 0.045129 68.2 "Gaia DR2 5964108375976378112" 253.93631697428 0.0443 -45.15863388429 0.0351 1635721458409799680 5964108375976378112 1042166749 2015.5 1.3508 0.0467 28.9378 -1.751 0.077 -8.635 0.061 0.1289 -0.2771 -0.4866 -0.1616 -0.1952 -0.0487 -0.7029 -0.1515 0.1960 -0.1286 210 210 205 5 3.7921 284.99 0.000 0 31 1 363.5823 1.6294 0.0082 0.063 24 12 0.050413 0 26 0 228 4.071e+05 621.7 654.825 11.6642 0.0017 24 2.279e+05 1024 222.530 11.9568 0.0049 24 2.61e+05 1137 229.594 11.2204 0.0047 1.201 0 0.7365 0.2926 0.4438 "" "" 0 "" "" "" NOT_AVAILABLE 341.05216089286 -1.13477084611 257.81691475390 -22.39640693886 100001 6107.75 6000.67 6612.30 "" "" "" "" "" "" 200111 2.63 2.25 2.73 8.684 8.264 9.104 253.93632766500 1.1882 -45.15859670590 0.9483
17 253.90714 -45.060551 265.737 336.244 11.841 0.012 0.304 0.013 0.225 0.005 0.332 0.027 3.3856 0.170336 0.091540 0.143648 32.5 "Gaia DR2 5964111227834652160" 253.90594451641 0.0383 -45.06015379917 0.0321 1635721458409799680 5964111227834652160 1137340420 2015.5 0.9513 0.0424 22.4397 0.551 0.069 -2.756 0.057 0.0807 -0.3009 -0.4227 -0.0922 -0.3044 0.0516 -0.6777 -0.0936 0.2575 -0.2171 230 230 224 6 8.8010 458.56 0.000 1.9e-15 31 1 405.5712 1.6761 0.0075 0.044 26 12 0.047275 0 28 0 237 3.640e+05 104 3499.084 11.7855 0.0003 25 2.316e+05 243.2 952.146 11.9395 0.0011 24 1.991e+05 217.3 916.103 11.5145 0.0012 1.183 0 0.4250 0.1540 0.2710 "" "" 0 "" "" "" NOT_AVAILABLE 341.11544879127 -1.05632395148 257.78122017591 -22.30118129758 100001 7617.00 7530.00 7787.67 0.7930 0.4436 0.9568 0.4080 0.2775 0.4998 200111 2.30 2.20 2.35 15.979 14.955 17.002 253.90594116000 1.0775 -45.06014193370 0.8842
18 253.908515 -45.10341 257.751 691.627 11.886 0.009 1.942 0.011 -0.854 0.008 nan nan 2.8736 0.136854 0.092717 0.100661 42.6 "Gaia DR2 5964110819830734592" 253.90770914425 0.4048 -45.10313815729 0.1693 1635721458409799680 5964110819830734592 1454178727 2015.5 1.4097 0.4249 3.3175 23.507 0.349 -37.638 0.271 -0.3855 -0.8810 -0.5513 0.1252 0.3653 0.2098 -0.6484 0.3265 -0.0955 -0.2971 226 226 205 21 75.2487 8627.88 0.717 2.1e+02 31 0 1.8033 1.2320 0.0386 -0.046 28 9 0.29444 0 34 1 226 2.624e+07 2.587e+06 10.141 7.1411 0.1071 17 3.821e+06 6.236e+05 6.128 8.8958 0.1772 21 9.92e+07 1.121e+07 8.850 4.7706 0.1227 3.927 0 4.1252 1.7547 2.3705 "" "" 0 "" "" "" NOT_AVAILABLE 341.08274429380 -1.08425237087 257.78809614417 -22.34371068961 102201 3955.68 3405.10 4766.20 "" "" "" "" "" "" "" "" "" "" "" "" "" 253.90756575100 5.4177 -45.10297610490 4.1962
19 253.826261 -45.085163 735.42 540.32 11.944 0.006 0.307 0.01 0.2 0.008 0.47 0.015 1.9119 0.123666 0.034706 0.118696 16.3 "Gaia DR2 5964121230846438144" 253.82550610696 0.0530 -45.08516864984 0.0346 1635721458409799680 5964121230846438144 714506924 2015.5 1.5859 0.0571 27.7854 -0.449 0.079 -2.004 0.061 -0.0028 -0.6028 -0.3982 -0.0859 -0.0666 0.0471 -0.6080 0.0274 0.1709 -0.2488 196 196 190 6 8.0623 386.36 0.000 0 31 0 377.9252 1.6888 0.0093 0.088 22 11 0.05064 0 24 0 205 3.337e+05 171.3 1948.188 11.8800 0.0006 20 2.069e+05 371.8 556.428 12.0620 0.0020 20 1.896e+05 288.1 658.077 11.5673 0.0016 1.188 0 0.4947 0.1820 0.3127 -27.51 13.21 5 6500.0 3.5 0.0 NOT_AVAILABLE 341.06031490031 -1.02779387756 257.72348525120 -22.33280460348 100001 7341.00 7057.00 7854.00 0.6365 0.3720 0.8834 0.3150 0.1840 0.4251 200111 1.41 1.23 1.53 5.199 4.950 5.448 253.82550884400 1.2197 -45.08516001940 0.9527
20 253.611293 -45.041337 1983.78 176.925 11.995 0.018 0.621 0.019 0.109 0.008 0.726 0.019 1.1540 0.199643 -0.116497 0.162128 324.3 "Gaia DR2 5964125216575752960" 253.61147915735 0.0392 -45.04162778276 0.0323 1635721458409799680 5964125216575752960 1141324432 2015.5 2.6298 0.0406 64.7521 -8.648 0.072 -4.241 0.053 0.0522 -0.1371 -0.5113 -0.1017 -0.0820 -0.0557 -0.7450 -0.1269 0.2157 -0.0723 229 229 224 5 3.6240 303.11 0.000 0 31 1 395.7271 1.6170 0.0083 0.077 26 12 0.049218 0 28 0 232 3.37e+05 66.46 5071.679 11.8692 0.0002 26 1.799e+05 170.6 1054.548 12.2139 0.0010 25 2.298e+05 236.9 970.165 11.3585 0.0011 1.216 1 0.8554 0.3448 0.5106 -21.97 0.61 3 5500.0 3.5 -1.5 NOT_AVAILABLE 340.99907702965 -0.88288066805 257.55558674333 -22.30780537017 100002 5751.75 5477.77 5838.81 0.5930 0.2410 0.8191 0.2690 0.1013 0.4080 200111 1.40 1.36 1.54 1.928 1.884 1.971 253.61153185500 1.1239 -45.04160952310 0.8271
21 253.736147 -45.328978 1258.73 2562.01 12.033 0.024 0.854 0.042 -0.026 0.038 1.284 0.024 3.9736 0.129090 -0.027721 -0.126079 192.4 "Gaia DR2 5964023919739413760" 253.73691937768 0.0499 -45.32994700673 0.0376 1635721458409799680 5964023919739413760 144880899 2015.5 0.4047 0.0582 6.9499 -0.542 0.080 -2.173 0.062 -0.0553 -0.4746 -0.3207 -0.1242 -0.0442 -0.0023 -0.6991 -0.2213 0.2786 -0.1336 213 213 197 16 8.4629 409.06 0.000 0 31 1 430.4753 1.4892 0.0088 0.043 24 11 0.048737 0 26 0 224 4.095e+05 434 943.466 11.6577 0.0012 22 1.725e+05 357.3 482.816 12.2594 0.0022 23 3.464e+05 596.8 580.340 10.9131 0.0019 1.267 0 1.3462 0.6017 0.7446 "" "" 0 "" "" "" NOT_AVAILABLE 340.83063319139 -1.13304063105 257.68828225482 -22.58331087170 100001 4743.72 4659.70 4982.00 0.1680 0.0360 1.7891 0.1037 0.0420 0.9963 200111 15.98 14.48 16.56 116.452 94.262 138.641 253.73692269700 1.2355 -45.32993765100 0.9566
22 253.773311 -45.252185 1042.91 1925.25 12.071 0.018 1.098 0.025 0.007 0.019 1.669 0.027 2.4766 0.048999 -0.001899 -0.048962 182.2 "Gaia DR2 5964026084402928768" 253.77365359746 0.0841 -45.25283677407 0.0575 1635721458409799680 5964026084402928768 592717344 2015.5 0.2700 0.0980 2.7547 -0.651 0.104 -1.983 0.096 0.2686 -0.6160 -0.3264 -0.4286 -0.3458 -0.0166 -0.8144 -0.2636 0.5553 -0.1376 179 179 161 18 9.7217 397.19 0.000 0 31 1 420.6444 1.4462 0.0138 0.104 20 10 0.07222 0 23 0 180 4.709e+05 443.1 1062.664 11.5061 0.0010 22 1.667e+05 288.4 577.936 12.2967 0.0019 21 4.443e+05 335.8 1323.230 10.6428 0.0008 1.297 1 1.6539 0.7906 0.8633 "" "" 0 "" "" "" NOT_AVAILABLE 340.90686478102 -1.10467186294 257.70600017054 -22.50364881236 100002 4315.00 4176.28 4683.12 0.4410 0.1864 1.1218 0.2160 0.0976 0.6270 "" "" "" "" "" "" "" 253.77365757700 1.6182 -45.25282823720 1.4867
23 253.645425 -45.08918 1785.57 573.634 12.138 0.012 0.503 0.013 -0.261 0.006 0.711 0.013 1.4101 0.146890 -0.092348 0.114230 321.0 "Gaia DR2 5964031066564986624" 253.64554580948 0.0416 -45.08956999341 0.0348 1635721458409799680 5964031066564986624 778131808 2015.5 0.3531 0.0415 8.5026 -0.419 0.080 -1.886 0.058 -0.0856 -0.1840 -0.5568 0.0481 -0.0208 0.0904 -0.7740 -0.0543 0.1457 -0.1760 212 212 205 7 3.1777 269.71 0.000 0 31 1 381.3105 1.6216 0.0083 0.062 24 12 0.055004 0 26 0 202 3.017e+05 168.1 1795.366 11.9894 0.0006 20 1.668e+05 448.4 372.076 12.2956 0.0029 21 2.026e+05 360.7 561.718 11.4952 0.0019 1.225 0 0.8005 0.3062 0.4942 "" "" 0 "" "" "" NOT_AVAILABLE 340.97698886415 -0.93176451414 257.58768883991 -22.35247769303 100001 6031.52 5675.52 6466.24 "" "" "" "" "" "" 200111 8.90 7.74 10.05 94.414 78.359 110.470 253.64554836400 1.2423 -45.08956187520 0.9018
